Tlabs,av18,n3loemn500,n3loem,cdbonn,n2losat,my,n2loopt
1,32.76257868087994,32.78809848458123,32.76384746030306,32.7860654610281,32.69025772831818,32.157533845302815,32.82092430317174
2,45.65758664776049,45.71302902968425,45.6445179771023,45.7072599838511,45.45094934968773,45.03589627256425,45.77733087436194
3,50.97992488526178,51.056938876166576,50.954535913482765,51.04741987639962,50.6666243488399,50.43709982727304,51.14225397351683
4,53.504086195207634,53.597952279438736,53.468668303797266,53.58469715145703,53.10237685820283,53.03789488267776,53.69890580129033
5,54.75599414728423,54.863906479639525,54.71205138735001,54.84689681810474,54.27639799559417,54.354728979774116,54.9773995749282
6,55.34365719198531,55.46373380107148,55.29219441451325,55.44294021269841,54.79261534797,54.997012613272084,55.58771185745501
7,55.550965337421,55.68182189249174,55.492698529102604,55.657214947707836,54.932666957589376,55.25092802985444,55.81477719224924
8,55.526124034898565,55.66667434870638,55.46159842919814,55.63822871903619,54.84342050185969,55.266531154840315,55.80741952918288
9,55.353065667367645,55.50241855323829,55.282722683334555,55.47011416572685,54.607960480164806,55.12911399194007,55.64997093545806
10,55.08233533574593,55.239736453520415,55.00655212528608,55.20355843397231,54.27626549738136,54.890210630497904,55.39325323149564
15,53.07323543060846,53.26244948966545,52.974944353581,53.20681938032161,51.97323887338534,53.0031289334822,53.43594644452088
20,50.76629995552731,50.97758491229187,50.652714677373176,50.902561289206446,49.377377029066224,50.78265553258812,51.158545951779246
25,48.49395965087122,48.72091745913847,48.37253753909912,48.62662514206309,46.81335504681327,48.57757223845274,48.899606009156884
30,46.328877525491514,46.5671448926608,46.207650463000746,46.45363939255946,44.350793294856985,46.467757342661635,46.735339555542524
35,44.2826830173163,44.52928574016261,44.170180172234765,44.396501388176226,41.999935037586674,44.468714076955855,44.67976420667208
40,42.350245133316065,42.603156238439674,42.25528136960026,42.45089675296868,39.754929761119996,42.577613239221996,42.729440647625
45,40.52200652145582,40.77989995271354,40.45353125713601,40.60785116101677,37.60587312993019,40.78641505885098,40.87611909985011
50,38.787844089610395,39.04994802465489,38.75482721826847,38.857702033574746,35.542532651010184,39.08608907547601,39.110760186682505
60,35.56514696208645,35.8348473312924,35.629299023167334,35.60076097568317,31.63645873962506,35.924406027597826,35.81074734167045
70,32.619321829321684,32.89686581119497,32.8131956111184,32.618969881239586,27.974472246104646,33.03386258715122,32.772134274756645
80,29.902223544272452,30.188572560421157,30.254105060474526,29.86530506229193,24.509786361124196,30.368840961222606,29.951214895106695
90,27.377025951206857,27.672968625682106,27.909530944238625,27.303663520563724,21.207362768695088,27.89407758404899,27.31490075686858
100,25.01523176372415,25.320621540963952,25.744078493432035,24.905946071500825,18.040755975016133,25.58194849273772,24.837938486381194
150,15.00346006931326,15.291600269189441,16.662673208459793,14.7297585611648,3.6882637265127998,15.816385734156135,14.294048462126439
200,6.987933216535824,6.930189357884266,8.734402457920025,6.579266071897866,-8.833749249378423,8.022312518735447,6.093674085779989
250,0.231780830352832,-0.7736857020324359,0.5084986938112948,-0.287115203751988,-19.50492546515142,1.3974904586420336,-0.08786913079014452
300,-5.646738643016508,-8.276456159519883,-8.528795533345164,-6.257552064268941,-27.468748615365648,-4.5153693716851295,-4.19173345328597
350,-10.868247448232841,-15.578494968961241,-18.283065743125466,-11.562640258711523,-31.05240772860827,-10.007368748229698,-6.106157257591601
400,-15.579651010943605,-22.308534052519573,-28.358481722031275,-16.351420660050767,-28.23805233171722,-15.269268617775065,-5.989262990797172
450,-19.873003559625964,-27.864792726860863,-38.25806676251271,-20.72621488159392,-19.367063064502208,-20.420953449498658,-4.495430587994805
500,-23.821834093064044,-31.649298836752106,-47.51802889917165,-24.760556876150563,-9.730870645143215,-25.5275001778081,-2.6054856936274566
