Tlabs,scsn3lo1fm
1,0.07214992260659198
2,0.2924330529907077
3,0.5995019748286261
4,0.9591849694264946
5,1.3511724431866483
6,1.7622303817499865
7,2.1832600374571958
8,2.6077928876172
9,3.031131742645622
10,3.449822288045326
15,5.404308677804159
20,7.051846618328727
25,8.378372821057084
30,9.412368870160705
35,10.192874597262671
40,10.758511900822837
45,11.143855534821196
50,11.378587615019468
60,11.492065362971882
70,11.253070668522428
80,10.768508037261073
90,10.113063296135218
100,9.339622323668697
150,4.730655041111958
200,0.11356284373188855
250,-3.8820589630338715
300,-7.077449741932199
350,-9.433233185812663
400,-10.967442414555885
450,-11.732343512342357
500,-11.808180420267487
