Tlabs,1S0,3P0,3P1,1D2
1,32.79046467294065,0.13648292383486194,-0.08078609794686639,0.0009561526357665111
5,54.878095306111184,1.6113620563298223,-0.8939746229920758,0.043727563072678735
10,55.261330155395626,3.8058744756378924,-2.0382933325577994,0.16640013137978352
25,48.74917263206122,8.772758342274184,-4.877260974237933,0.6952553737638179
50,39.04988496195171,11.738439661176752,-8.268024889203774,1.6862169993192622
100,25.17716331042736,9.612417129483193,-13.324562114761596,3.7207009138010236
150,15.112793095480663,4.80090582496996,-17.536831558248192,5.608732605998141
200,7.18985865469051,-0.1996448487899263,-21.180902061279344,7.188970088045139
250,0.7213476971260437,-4.78669044220811,-24.257120281115547,8.41924763438381
300,-4.638952535962224,-8.789931224589715,-26.73845673139152,9.325830699710817
